# mode=adp T=8.0 Ts=0.01 dt=0.002 K=800 plant_ticks=3994 wall_ms=8001 plant_late_max_us=2101
# freq_hz=200000000 ctrl_cpu=0 plant_cpu=1 micropython=1.24.0
# exec_us avg=561.1 max=607 | tick_us(incl log/gc) avg=917.6 max=4552 | Ts_us=10000
k,y,u,exec_us,tot_us
180,-0.001724,-0.02758,557,3710
181,-0.001675,-0.02644,563,615
182,-0.001628,-0.02535,559,610
183,-0.001580,-0.02428,578,625
184,-0.001533,-0.02325,559,613
185,-0.001487,-0.02225,563,613
186,-0.001441,-0.02129,560,613
187,-0.001396,-0.02035,554,605
188,-0.001352,-0.01945,563,614
189,-0.001309,-0.01857,586,637
190,-0.001266,-0.01773,555,3702
191,-0.001224,-0.01691,566,616
192,-0.001182,-0.01612,556,607
193,-0.001142,-0.01536,583,639
194,-0.001102,-0.01463,557,609
195,-0.001064,-0.01392,557,610
196,-0.001026,-0.01324,556,607
197,-0.000989,-0.01259,562,610
198,-0.000952,-0.01196,546,598
199,-0.000917,-0.01135,578,629
200,-0.000883,-0.01077,553,3698
201,-0.000849,-0.01020,572,624
202,-0.000816,-0.00967,571,622
203,-0.000785,-0.00915,572,624
204,-0.000754,-0.00865,568,621
205,-0.000724,-0.00818,555,609
206,-0.000694,-0.00772,556,607
207,-0.000666,-0.00729,558,609
208,-0.000639,-0.00687,555,608
209,-0.000612,-0.00647,578,626
210,-0.000586,-0.00608,558,3701
211,-0.000561,-0.00572,567,620
212,-0.000537,-0.00537,566,615
213,-0.000513,-0.00503,577,628
214,-0.000490,-0.00472,548,597
215,-0.000468,-0.00441,552,606
216,-0.000447,-0.00412,556,607
217,-0.000427,-0.00384,566,615
218,-0.000407,-0.00358,564,615
219,-0.000388,-0.00333,577,630
220,-0.000369,-0.00309,556,3699
221,-0.000351,-0.00287,574,625
222,-0.000334,-0.00265,553,606
223,-0.000318,-0.00245,581,631
224,-0.000302,-0.00225,557,608
225,-0.000287,-0.00207,560,613
226,-0.000272,-0.00189,559,609
227,-0.000258,-0.00173,553,603
228,-0.000244,-0.00157,553,606
229,-0.000231,-0.00143,570,622
230,-0.000219,-0.00129,561,3703
231,-0.000207,-0.00115,566,617
232,-0.000195,-0.00103,565,617
233,-0.000184,-0.00091,576,630
234,-0.000174,-0.00080,566,620
235,-0.000164,-0.00070,558,609
236,-0.000154,-0.00060,571,624
237,-0.000145,-0.00051,549,602
238,-0.000136,-0.00043,564,617
239,-0.000128,-0.00035,576,628
240,-0.000120,-0.00027,558,3697
241,-0.000112,-0.00021,579,630
242,-0.000105,-0.00014,560,610
243,-0.000098,-0.00008,580,631
244,-0.000091,-0.00002,549,600
245,-0.000085,0.00003,571,623
246,-0.000079,0.00007,561,611
247,-0.000073,0.00012,548,602
248,-0.000068,0.00016,543,594
249,-0.000062,0.00020,570,620
250,-0.000057,0.00023,556,3694
251,-0.000053,0.00026,570,621
252,-0.000048,0.00029,561,614
253,-0.000044,0.00032,574,628
254,-0.000040,0.00034,563,615
255,-0.000037,0.00036,562,611
256,-0.000033,0.00038,552,605
257,-0.000030,0.00040,543,594
258,-0.000027,0.00041,559,609
259,-0.000024,0.00042,574,625
260,-0.000021,0.00044,559,3697
261,-0.000018,0.00044,560,609
262,-0.000016,0.00045,556,606
263,-0.000013,0.00046,581,635
264,-0.000011,0.00046,558,610
265,-0.000009,0.00047,560,610
266,-0.000007,0.00047,551,602
267,-0.000006,0.00047,554,606
268,-0.000004,0.00047,555,606
269,-0.000002,0.00047,587,639
270,-0.000001,0.00047,557,3695
271,0.000000,0.00047,563,616
272,0.000001,0.00047,552,602
273,0.000003,0.00046,575,626
274,0.000004,0.00046,550,600
275,0.000005,0.00045,554,606
