# mode=rbf T=30.0 Ts=0.01 dt=0.002 K=3000 plant_ticks=15018 wall_ms=30050 plant_late_max_us=3548
# freq_hz=200000000 ctrl_cpu=0 plant_cpu=1 micropython=1.24.0
# exec_us avg=2922.9 max=2993 | tick_us(incl log/gc) avg=3505.9 max=8401 | Ts_us=10000
k,y,u,exec_us,tot_us
165,-0.105084,-5.46648,2905,2964
166,-0.113282,-5.67311,2907,2964
167,-0.121434,-5.87401,2899,2958
168,-0.129538,-6.06734,2919,2978
169,-0.137590,-6.25186,2896,2956
170,-0.145589,-6.42683,2910,8373
171,-0.151948,-6.66178,2932,2989
172,-0.161418,-6.73822,2923,2980
173,-0.169243,-6.88246,2967,3028
174,-0.177005,-7.02051,2927,2983
175,-0.184703,-7.15105,2909,2968
176,-0.192334,-7.27483,2917,2972
177,-0.199894,-7.39267,2904,2960
178,-0.207381,-7.50545,2915,2972
179,-0.214792,-7.61398,2910,2967
180,-0.222123,-7.71914,2921,8379
181,-0.227928,-7.86822,2942,3000
182,-0.236531,-7.91650,2924,2986
183,-0.243601,-8.01635,2973,3031
184,-0.250575,-8.11833,2907,2970
185,-0.257450,-8.22287,2911,2966
186,-0.264220,-8.33166,2920,2978
187,-0.270882,-8.44645,2916,2977
188,-0.277430,-8.56889,2921,2978
189,-0.283859,-8.70033,2901,2959
190,-0.290166,-8.84154,2934,8397
191,-0.295119,-9.00032,2933,2992
192,-0.302392,-9.14834,2918,2976
193,-0.308303,-9.31558,2955,3015
194,-0.314074,-9.48810,2902,2962
195,-0.319702,-9.66280,2912,2968
196,-0.325184,-9.83665,2905,2962
197,-0.330518,-10.00669,2933,2992
198,-0.335700,-10.17024,2917,2977
199,-0.340731,-10.32500,2906,2964
200,-0.345608,-10.46909,2903,8361
201,-0.349399,-10.58841,2924,2980
202,-0.354900,-10.71864,2920,2980
203,-0.359313,-10.82414,2965,3023
204,-0.363572,-10.91486,2908,2966
205,-0.367677,-10.99094,2916,2975
206,-0.371628,-11.05243,2915,2968
207,-0.375425,-11.09959,2891,2949
208,-0.379071,-11.13284,2901,2960
209,-0.382564,-11.15278,2891,2945
210,-0.385907,-11.16007,2909,8369
211,-0.388473,-11.13156,2940,2996
212,-0.392143,-11.14128,2928,2987
213,-0.395037,-11.11629,2982,3041
214,-0.397783,-11.08048,2928,2982
215,-0.400381,-11.03565,2912,2972
216,-0.402830,-10.98248,2910,2965
217,-0.405132,-10.92151,2931,2987
218,-0.407286,-10.85323,2919,2977
219,-0.409291,-10.77803,2909,2968
220,-0.411149,-10.69627,2907,8363
221,-0.412528,-10.55997,2922,2981
222,-0.414418,-10.51991,2920,2977
223,-0.415828,-10.42165,2960,3021
224,-0.417088,-10.31513,2888,2945
225,-0.418196,-10.20327,2893,2950
226,-0.419153,-10.08642,2905,2961
227,-0.419958,-9.96477,2893,2953
228,-0.420610,-9.83847,2897,2956
229,-0.421108,-9.70771,2910,2963
230,-0.421451,-9.57264,2889,8343
231,-0.421614,-9.36329,2930,2993
232,-0.421671,-9.29959,2893,2953
233,-0.421546,-9.15429,2960,3022
234,-0.421264,-9.00119,2900,2959
235,-0.420823,-8.84440,2903,2962
236,-0.420225,-8.68412,2899,2956
237,-0.419468,-8.52034,2893,2950
238,-0.418553,-8.35305,2917,2977
239,-0.417478,-8.18222,2912,2968
240,-0.416245,-8.00782,2926,8379
241,-0.415144,-7.74209,2933,2988
242,-0.413303,-7.66173,2917,2975
243,-0.411594,-7.47924,2962,3021
244,-0.409727,-7.28823,2922,2979
245,-0.407702,-7.09428,2927,2986
246,-0.405520,-6.89784,2916,2975
247,-0.403182,-6.69911,2918,2975
248,-0.400689,-6.49835,2922,2980
249,-0.398041,-6.29587,2909,2972
250,-0.395239,-6.09195,2930,8387
251,-0.392888,-5.78244,2948,3004
252,-0.389179,-5.69880,2935,2995
253,-0.385923,-5.49521,2983,3043
254,-0.382517,-5.28507,2923,2981
255,-0.378963,-5.07550,2918,2977
256,-0.375262,-4.86707,2936,2996
257,-0.371416,-4.65993,2914,2973
258,-0.367426,-4.45418,2929,2988
259,-0.363294,-4.24992,2931,2985
260,-0.359021,-4.04721,2931,8384
261,-0.355503,-3.72602,2940,2999
262,-0.350060,-3.66789,2948,3011
263,-0.345376,-3.47266,2973,3031
264,-0.340557,-3.27172,2921,2978
265,-0.335607,-3.07298,2918,2975
